trial_id,w_g,braiding_phase,active_cubes,stability_score,version,timestamp,num_layers,num_polarities,max_facts,gauge_strength,omega_R
0,111.409,0.8146,12,7.98,10.8,2026-04-17T22:57:28.085282,4,18,42,0.8825,0.0225
1,111.408,0.81508,12,8.0,10.8,2026-04-17T22:57:28.086981,3,18,42,0.88,0.0225
2,111.409,0.8129,12,7.85,10.8,2026-04-17T22:57:28.088619,2,24,30,0.875,0.023
3,111.409,0.8137,12,7.95,10.8,2026-04-17T22:57:28.090253,3,24,42,0.88,0.02275
4,111.408,0.81479,12,7.9,10.8,2026-04-17T22:57:28.091877,2,24,48,0.88,0.023
5,111.408,0.81284,12,7.9,10.8,2026-04-17T22:57:28.093505,3,18,48,0.875,0.02275
6,111.408,0.81429,12,7.9,10.8,2026-04-17T22:57:28.095138,2,12,36,0.885,0.02275
7,111.409,0.815,12,7.9,10.8,2026-04-17T22:57:28.096765,3,24,42,0.875,0.02275
8,111.407,0.81358,12,7.85,10.8,2026-04-17T22:57:28.098368,4,12,48,0.885,0.022
9,111.408,0.81434,12,7.92,10.8,2026-04-17T22:57:28.100099,2,18,24,0.8775,0.02225
10,111.406,0.81324,12,7.92,10.8,2026-04-17T22:57:28.101746,3,12,24,0.8775,0.02275
11,111.407,0.81493,12,7.97,10.8,2026-04-17T22:57:28.103519,4,24,48,0.8775,0.0225
12,111.408,0.81376,12,7.9,10.8,2026-04-17T22:57:28.106335,3,12,24,0.88,0.023
13,111.408,0.81565,12,7.92,10.8,2026-04-17T22:57:28.108812,2,12,24,0.8775,0.02225
14,111.408,0.81286,12,7.85,10.8,2026-04-17T22:57:28.110506,4,24,42,0.885,0.023
15,111.408,0.81396,12,7.92,10.8,2026-04-17T22:57:28.112106,2,24,24,0.8775,0.02275
16,111.41,0.81402,12,7.93,10.8,2026-04-17T22:57:28.113713,2,18,24,0.8825,0.02275
17,111.409,0.81467,12,7.92,10.8,2026-04-17T22:57:28.116140,2,18,42,0.8775,0.02225
18,111.408,0.81573,12,7.85,10.8,2026-04-17T22:57:28.117781,4,24,48,0.875,0.023
