trial_id,w_g,braiding_phase,active_cubes,stability_score,version,timestamp,num_layers,num_polarities,max_facts,gauge_strength,omega_R
0,111.408,0.8152,12,7.9,10.8,2026-04-18T00:44:04.712505,4,24,48,0.88,0.023
1,111.408,0.81477,12,7.9,10.8,2026-04-18T00:44:04.714248,3,18,48,0.88,0.023
2,111.409,0.81433,12,7.9,10.8,2026-04-18T00:44:04.715995,4,24,48,0.885,0.02225
3,111.407,0.81435,12,7.9,10.8,2026-04-18T00:44:04.717665,2,24,36,0.885,0.02225
4,111.409,0.81585,12,7.9,10.8,2026-04-18T00:44:04.719349,3,18,30,0.885,0.02225
5,111.41,0.81522,12,8.0,10.8,2026-04-18T00:44:04.721034,2,12,48,0.88,0.0225
6,111.407,0.81241,12,7.88,10.8,2026-04-18T00:44:04.723026,2,12,42,0.8825,0.022
7,111.408,0.81525,12,7.88,10.8,2026-04-18T00:44:04.724850,4,12,24,0.8775,0.023
8,111.407,0.81431,12,7.9,10.8,2026-04-18T00:44:04.726816,3,18,30,0.885,0.02225
9,111.408,0.8138,12,7.9,10.8,2026-04-18T00:44:04.728795,4,12,42,0.88,0.023
10,111.408,0.81457,12,7.85,10.8,2026-04-18T00:44:04.730490,3,24,30,0.875,0.023
11,111.409,0.81382,12,7.88,10.8,2026-04-18T00:44:04.732158,3,18,24,0.8775,0.023
12,111.408,0.81301,12,8.0,10.8,2026-04-18T00:44:04.733861,4,18,30,0.88,0.0225
13,111.408,0.81385,12,7.93,10.8,2026-04-18T00:44:04.735506,2,24,30,0.8825,0.02275
14,111.409,0.814,12,7.92,10.8,2026-04-18T00:44:04.737141,2,18,42,0.8775,0.02275
15,111.408,0.81458,12,7.9,10.8,2026-04-18T00:44:04.738796,3,24,30,0.875,0.02275
16,111.407,0.81398,12,7.85,10.8,2026-04-18T00:44:04.740457,3,24,30,0.875,0.023
17,111.407,0.81404,12,7.9,10.8,2026-04-18T00:44:04.742125,4,18,48,0.88,0.023
18,111.408,0.81421,12,7.85,10.8,2026-04-18T00:44:04.743880,2,12,24,0.875,0.022
19,111.408,0.81401,12,7.88,10.8,2026-04-18T00:44:04.745674,3,12,24,0.8775,0.023
20,111.409,0.81549,12,7.9,10.8,2026-04-18T00:44:04.747397,3,18,42,0.88,0.022
21,111.407,0.81345,12,7.98,10.8,2026-04-18T00:44:04.749117,4,18,48,0.8825,0.0225
22,111.408,0.81446,12,7.85,10.8,2026-04-18T00:44:04.750779,2,18,48,0.875,0.023
23,111.409,0.81472,12,7.88,10.8,2026-04-18T00:44:04.752442,2,18,24,0.8825,0.023
24,111.408,0.81442,12,7.93,10.8,2026-04-18T00:44:04.754108,4,12,36,0.8825,0.02275
25,111.408,0.81466,12,7.92,10.8,2026-04-18T00:44:04.755789,3,24,30,0.8775,0.02225
26,111.407,0.8134,12,7.88,10.8,2026-04-18T00:44:04.757470,2,18,24,0.8775,0.023
27,111.408,0.81364,12,7.95,10.8,2026-04-18T00:44:04.759127,2,24,48,0.88,0.02225
28,111.407,0.81412,12,7.93,10.8,2026-04-18T00:44:04.760825,3,24,24,0.8825,0.02225
29,111.407,0.81445,12,7.95,10.8,2026-04-18T00:44:04.762508,3,24,30,0.885,0.0225
30,111.407,0.81276,12,7.9,10.8,2026-04-18T00:44:04.764241,2,24,36,0.875,0.02225
31,111.408,0.81478,12,7.85,10.8,2026-04-18T00:44:04.766105,4,18,24,0.885,0.022
32,111.408,0.81467,12,7.92,10.8,2026-04-18T00:44:04.767951,4,24,24,0.8775,0.02275
33,111.407,0.8144,12,7.92,10.8,2026-04-18T00:44:04.769654,4,18,30,0.8775,0.02275
34,111.41,0.8155,12,7.93,10.8,2026-04-18T00:44:04.772129,3,24,48,0.8825,0.02275
35,111.408,0.81402,12,7.88,10.8,2026-04-18T00:44:04.773961,2,18,24,0.8825,0.022
36,111.41,0.81366,12,7.85,10.8,2026-04-18T00:44:04.776164,4,18,24,0.885,0.022
37,111.41,0.81379,12,7.92,10.8,2026-04-18T00:44:04.777835,3,18,24,0.8775,0.02225
38,111.408,0.81563,12,7.88,10.8,2026-04-18T00:44:04.779494,4,12,36,0.8775,0.022
39,111.408,0.81309,12,7.9,10.8,2026-04-18T00:44:04.781619,2,24,24,0.88,0.022
40,111.408,0.81404,12,7.88,10.8,2026-04-18T00:44:04.783393,3,24,30,0.8775,0.023
41,111.406,0.81442,12,7.85,10.8,2026-04-18T00:44:04.785133,3,12,42,0.875,0.023
42,111.408,0.81348,12,7.9,10.8,2026-04-18T00:44:04.786861,3,24,36,0.885,0.02275
43,111.409,0.81335,12,7.9,10.8,2026-04-18T00:44:04.788634,4,24,48,0.88,0.023
44,111.407,0.81355,12,7.95,10.8,2026-04-18T00:44:04.790259,4,12,30,0.88,0.02225
45,111.409,0.81476,12,7.9,10.8,2026-04-18T00:44:04.791894,3,24,36,0.875,0.02275
46,111.407,0.81376,12,7.9,10.8,2026-04-18T00:44:04.793524,3,24,42,0.88,0.022
47,111.408,0.81466,12,7.93,10.8,2026-04-18T00:44:04.795167,3,18,36,0.8825,0.02275
48,111.408,0.81441,12,7.85,10.8,2026-04-18T00:44:04.796793,3,12,24,0.875,0.023
49,111.408,0.81427,12,7.95,10.8,2026-04-18T00:44:04.798408,3,12,48,0.875,0.0225
50,111.408,0.81374,12,7.92,10.8,2026-04-18T00:44:04.800079,4,24,30,0.8775,0.02225
51,111.406,0.81476,12,7.9,10.8,2026-04-18T00:44:04.801727,2,18,48,0.88,0.022
52,111.407,0.81273,12,7.85,10.8,2026-04-18T00:44:04.803358,4,12,48,0.885,0.022
53,111.407,0.81298,12,7.85,10.8,2026-04-18T00:44:04.805130,3,18,48,0.885,0.023
54,111.408,0.81341,12,7.9,10.8,2026-04-18T00:44:04.806950,4,12,30,0.88,0.023
55,111.409,0.81373,12,7.92,10.8,2026-04-18T00:44:04.808719,2,24,42,0.8775,0.02225
56,111.408,0.81269,12,7.85,10.8,2026-04-18T00:44:04.810337,4,18,30,0.885,0.022
57,111.409,0.81443,12,7.85,10.8,2026-04-18T00:44:04.811960,4,12,24,0.885,0.023
58,111.408,0.81412,12,7.85,10.8,2026-04-18T00:44:04.813617,2,18,24,0.885,0.023
59,111.408,0.81324,12,7.92,10.8,2026-04-18T00:44:04.815251,3,18,42,0.8775,0.02275
60,111.407,0.81564,12,7.95,10.8,2026-04-18T00:44:04.816881,3,24,30,0.88,0.02225
61,111.406,0.81492,12,7.98,10.8,2026-04-18T00:44:04.818509,2,18,42,0.8825,0.0225
62,111.407,0.81338,12,7.9,10.8,2026-04-18T00:44:04.820166,3,18,48,0.875,0.02275
